cue,tar,corrAns,targOrientation,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,background.started,startresp.started,inst1textbox.started,instr.stopped,instr2.started,background_2.started,startresp2.started,inst1textbox_2.started,instr2.stopped,fixation.started,background_3.started,image.started,trial_counter_2.started,reminder.started,background_3.stopped,image.stopped,trial_counter_2.stopped,reminder.stopped,fixation.stopped,fixDuration,trial.started,background_4.started,cues.started,fixationshort.started,trial_counter.started,reminder_2.started,cues.stopped,target.started,resp.started,fixationshort.stopped,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,feedback.started,background_5.started,text.started,trial_counter_3.started,reminder_3.started,feedback.stopped,background_5.stopped,text.stopped,trial_counter_3.stopped,reminder_3.stopped,End.started,background_6.started,inst1textbox_3.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.045472600002540275,0.07726910000201315,0.07726910000201315,0.07726910000201315,0.5567165999964345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570358,001,2024-11-18_03h14.43.297,attention_network_task,2024.2.4,144.55546303556835,2024-11-18 03h14.48.744457 +0330,
,,,,,,,,,,,,,,,,,,,,,,0.5608456000045408,0.5831267999892589,0.5831267999892589,0.5831267999892589,0.8739699999860022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570358,001,2024-11-18_03h14.43.297,attention_network_task,2024.2.4,144.55546303556835,2024-11-18 03h14.48.744457 +0330,
stim/upper.png,stim/congLeft.png,left,0,0,0,0,left,1,0.359889600018505,None,0,0,0,0,0.9538461999909487,,,,,,,,,,,,0.8858263999863993,0.9538461999909487,0.9538461999909487,0.9538461999909487,0.9538461999909487,1.4258536999986973,1.4258536999986973,1.4258536999986973,1.4258536999986973,1.3520019999996293,0.4,1.3557682999817189,1.4258536999986973,1.4258536999986973,1.4258536999986973,1.4258536999986973,1.4258536999986973,1.523810799990315,1.8572390000044834,1.8572390000044834,1.9264185999927577,2.220384299987927,left,1,0.359889600018505,None,2.27434119998361,2.369934699992882,2.369934699992882,2.369934699992882,2.369934699992882,3.2336601999995764,,,,,,,,570358,001,2024-11-18_03h14.43.297,attention_network_task,2024.2.4,144.55546303556835,2024-11-18 03h14.48.744457 +0330,
stim/centre.png,stim/congLeft.png,right,180,1,1,0,right,1,0.31120380002539605,None,0,1,1,6,3.248929900000803,,,,,,,,,,,,3.2376414999889676,3.248929900000803,3.248929900000803,3.248929900000803,3.248929900000803,3.7457404999877326,3.7457404999877326,3.7457404999877326,3.7457404999877326,3.7335891999828164,0.5,3.737026499991771,3.7457404999877326,3.7457404999877326,3.7457404999877326,3.7457404999877326,3.7457404999877326,3.842543399980059,4.2311993000039365,4.2311993000039365,4.24504939999315,4.552625599986641,right,1,0.31120380002539605,None,4.556570099986857,4.56422339999699,4.56422339999699,4.56422339999699,4.56422339999699,5.552934899984393,5.566806399991037,5.566806399991037,5.566806399991037,5.566806399991037,,,,570358,001,2024-11-18_03h14.43.297,attention_network_task,2024.2.4,144.55546303556835,2024-11-18 03h14.48.744457 +0330,
stim/lower.png,stim/congLeft.png,right,180,2,2,0,left,0,0.16298380002263002,None,0,2,2,4,5.566806399991037,,,,,,,,,,,,5.557721099990886,5.566806399991037,5.566806399991037,5.566806399991037,5.566806399991037,5.967913600004977,5.967913600004977,5.967913600004977,5.967913600004977,5.955885400006082,0.4,5.959601499984274,5.967913600004977,5.967913600004977,5.967913600004977,5.967913600004977,5.967913600004977,6.0648170999775175,6.454271199996583,6.454271199996583,6.467700699984562,6.623556899983669,left,0,0.16298380002263002,None,6.628474500001175,6.641020199982449,6.641020199982449,6.641020199982449,6.641020199982449,7.636045799998101,,,,,,,,570358,001,2024-11-18_03h14.43.297,attention_network_task,2024.2.4,144.55546303556835,2024-11-18 03h14.48.744457 +0330,
stim/both.png,stim/congLeft.png,right,180,3,3,0,right,1,0.24726839998038486,None,0,3,3,5,7.651112699997611,,,,,,,,,,,,7.639952500001527,7.651112699997611,7.651112699997611,7.651112699997611,7.651112699997611,8.202914599998621,8.202914599998621,8.202914599998621,8.202914599998621,8.191700700001093,0.55,8.19594789997791,8.202914599998621,8.202914599998621,8.202914599998621,8.202914599998621,8.202914599998621,8.299990999978036,8.682881399989128,8.682881399989128,8.709415299992543,8.93410009998479,right,1,0.24726839998038486,None,8.939660399977583,8.952176799997687,8.952176799997687,8.952176799997687,8.952176799997687,9.941259799990803,,,,,,,,570358,001,2024-11-18_03h14.43.297,attention_network_task,2024.2.4,144.55546303556835,2024-11-18 03h14.48.744457 +0330,
stim/both.png,stim/congLeft.png,left,0,4,4,0,left,1,0.26664570000139065,None,0,4,4,1,9.962620099977357,,,,,,,,,,,,9.945909500005655,9.962620099977357,9.962620099977357,9.962620099977357,9.962620099977357,10.460599399986677,10.460599399986677,10.460599399986677,10.460599399986677,10.448286900005769,0.5,10.452200300002005,10.460599399986677,10.460599399986677,10.460599399986677,10.460599399986677,10.460599399986677,10.557164500001818,10.945732299995143,10.945732299995143,10.95995699998457,11.218810599995777,left,1,0.26664570000139065,None,11.222872999991523,11.230028799996944,11.230028799996944,11.230028799996944,11.230028799996944,12.225413599982858,,,,,,,,570358,001,2024-11-18_03h14.43.297,attention_network_task,2024.2.4,144.55546303556835,2024-11-18 03h14.48.744457 +0330,
stim/blank.png,stim/congLeft.png,left,0,5,5,0,left,1,0.36646220000693575,None,0,5,5,3,12.240089200000511,,,,,,,,,,,,12.229904699983308,12.240089200000511,12.240089200000511,12.240089200000511,12.240089200000511,12.64039759998559,12.64039759998559,12.64039759998559,12.64039759998559,12.628309699997772,0.4,12.632780399988405,12.64039759998559,12.64039759998559,12.64039759998559,12.64039759998559,12.64039759998559,12.737421700003324,13.126602200005436,13.126602200005436,13.140392400004202,13.503606299986131,left,1,0.36646220000693575,None,13.506815100001404,13.515321499988204,13.515321499988204,13.515321499988204,13.515321499988204,14.502552599995397,14.514392999990378,14.514392999990378,14.514392999990378,14.514392999990378,,,,570358,001,2024-11-18_03h14.43.297,attention_network_task,2024.2.4,144.55546303556835,2024-11-18 03h14.48.744457 +0330,
stim/centre.png,stim/congLeft.png,left,0,6,6,0,left,1,0.2899547000124585,None,0,6,6,2,14.514392999990378,,,,,,,,,,,,14.503705599985551,14.514392999990378,14.514392999990378,14.514392999990378,14.514392999990378,14.972323099995265,14.972323099995265,14.972323099995265,14.972323099995265,14.960527399991406,0.45,14.963861199998064,14.972323099995265,14.972323099995265,14.972323099995265,14.972323099995265,14.972323099995265,15.070317299978342,15.459564599994337,15.459564599994337,15.473425899981521,15.753584999998566,left,1,0.2899547000124585,None,15.75926150000305,15.771740600001067,15.771740600001067,15.771740600001067,15.771740600001067,16.767171699990286,,,,,,,,570358,001,2024-11-18_03h14.43.297,attention_network_task,2024.2.4,144.55546303556835,2024-11-18 03h14.48.744457 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.791168099996867,16.80845389998285,16.80845389998285,,,,,,,,
