cue,tar,corrAns,targOrientation,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,background.started,startresp.started,inst1textbox.started,instr.stopped,instr2.started,background_2.started,startresp2.started,inst1textbox_2.started,instr2.stopped,fixation.started,background_3.started,image.started,trial_counter_2.started,reminder.started,background_3.stopped,image.stopped,trial_counter_2.stopped,reminder.stopped,fixation.stopped,fixDuration,trial.started,background_4.started,cues.started,fixationshort.started,trial_counter.started,reminder_2.started,cues.stopped,target.started,resp.started,fixationshort.stopped,target.stopped,resp.stopped,trial.stopped,trials.resp.keys,trials.resp.corr,feedback.started,background_5.started,text.started,trial_counter_3.started,reminder_3.started,feedback.stopped,trials.resp.rt,trials.resp.duration,background_5.stopped,text.stopped,trial_counter_3.stopped,reminder_3.stopped,End.started,background_6.started,inst1textbox_3.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.040873699996154755,0.0816591999900993,0.0816591999900993,0.0816591999900993,2.008215499983635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204370,001,2024-11-18_03h12.38.526,attention_network_task,2024.2.4,141.2495214776322,2024-11-18 03h12.45.410209 +0330,
,,,,,,,,,,,,,,,,,,,,,,2.0121972000051755,2.0765606999921147,2.0765606999921147,2.0765606999921147,2.253351699997438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204370,001,2024-11-18_03h12.38.526,attention_network_task,2024.2.4,141.2495214776322,2024-11-18 03h12.45.410209 +0330,
stim/blank.png,stim/congLeft.png,left,0,0,0,0,None,0,,,0,0,0,3,2.355693599994993,,,,,,,,,,,,2.2655108000035398,2.355693599994993,2.355693599994993,2.355693599994993,2.355693599994993,2.9916724000067916,2.9916724000067916,2.9916724000067916,2.9916724000067916,2.8977984999946784,0.55,2.913976499985438,2.9916724000067916,2.9916724000067916,2.9916724000067916,2.9916724000067916,2.9916724000067916,3.0898577999905683,3.395802699989872,3.395802699989872,3.4928594999946654,5.104154999979073,5.104154999979073,5.105864199984353,None,0,5.281615899992175,5.354881899984321,5.354881899984321,5.354881899984321,5.354881899984321,6.105588899983559,,,,,,,,,,204370,001,2024-11-18_03h12.38.526,attention_network_task,2024.2.4,141.2495214776322,2024-11-18 03h12.45.410209 +0330,
stim/lower.png,stim/congLeft.png,right,180,1,1,0,right,1,1.6244821000145748,None,0,1,1,4,6.120135000004666,,,,,,,,,,,,6.110528299992438,6.120135000004666,6.120135000004666,6.120135000004666,6.120135000004666,6.625083899998572,6.625083899998572,6.625083899998572,6.625083899998572,6.605983699992066,0.5,6.61557829999947,6.625083899998572,6.625083899998572,6.625083899998572,6.625083899998572,6.625083899998572,6.722080100007588,7.110842900001444,7.110842900001444,7.124493699986488,,,8.745316399988951,right,1,8.757534799980931,8.770051900006365,8.770051900006365,8.770051900006365,8.770051900006365,9.751532700000098,1.6244821000145748,None,,,,,,,,204370,001,2024-11-18_03h12.38.526,attention_network_task,2024.2.4,141.2495214776322,2024-11-18 03h12.45.410209 +0330,
stim/both.png,stim/congLeft.png,left,0,2,2,0,left,1,0.1452992999984417,None,0,2,2,1,9.76571919998969,,,,,,,,,,,,9.755574399983743,9.76571919998969,9.76571919998969,9.76571919998969,9.76571919998969,10.326022499997634,10.326022499997634,10.326022499997634,10.326022499997634,10.306865199992899,0.55,10.317503600002965,10.326022499997634,10.326022499997634,10.326022499997634,10.326022499997634,10.326022499997634,10.423555299988948,10.804149799980223,10.804149799980223,10.831595099996775,,,10.952641599986237,left,1,10.957825799996499,10.970367600006284,10.970367600006284,10.970367600006284,10.970367600006284,11.96612830000231,0.1452992999984417,None,,,,,,,,204370,001,2024-11-18_03h12.38.526,attention_network_task,2024.2.4,141.2495214776322,2024-11-18 03h12.45.410209 +0330,
stim/both.png,stim/congLeft.png,right,180,3,3,0,left,0,0.08236070000566542,None,0,3,3,5,11.980544199992437,,,,,,,,,,,,11.970084800006589,11.980544199992437,11.980544199992437,11.980544199992437,11.980544199992437,12.381180500000482,12.381180500000482,12.381180500000482,12.381180500000482,12.369191599980695,0.4,12.37293729998055,12.381180500000482,12.381180500000482,12.381180500000482,12.381180500000482,12.381180500000482,12.47791089999373,12.866846199991414,12.866846199991414,12.880769899988081,,,12.952939599985257,left,0,12.957592499995371,12.970986999978777,12.970986999978777,12.970986999978777,12.970986999978777,13.958840899984352,0.08236070000566542,None,,,,,,,,204370,001,2024-11-18_03h12.38.526,attention_network_task,2024.2.4,141.2495214776322,2024-11-18 03h12.45.410209 +0330,
stim/centre.png,stim/congLeft.png,right,180,4,4,0,right,1,0.3043489999836311,None,0,4,4,6,13.973237199999858,,,,,,,,,,,,13.963213599985465,13.973237199999858,13.973237199999858,13.973237199999858,13.973237199999858,14.436303099995712,14.436303099995712,14.436303099995712,14.436303099995712,14.417396999982884,0.45,14.426540599990403,14.436303099995712,14.436303099995712,14.436303099995712,14.436303099995712,14.436303099995712,14.532847900001798,14.922042699996382,14.922042699996382,14.935750699980417,,,15.22972679999657,right,1,15.235850500001106,15.24795190000441,15.24795190000441,15.24795190000441,15.24795190000441,16.242729899997357,0.3043489999836311,None,,,,,,,,204370,001,2024-11-18_03h12.38.526,attention_network_task,2024.2.4,141.2495214776322,2024-11-18 03h12.45.410209 +0330,
stim/centre.png,stim/congLeft.png,left,0,5,5,0,left,1,0.34122699999716133,None,0,5,5,2,16.25701569998637,,,,,,,,,,,,16.24643100000685,16.25701569998637,16.25701569998637,16.25701569998637,16.25701569998637,16.714165199984564,16.714165199984564,16.714165199984564,16.714165199984564,16.702078899979824,0.45,16.705564699979732,16.714165199984564,16.714165199984564,16.714165199984564,16.714165199984564,16.714165199984564,16.811289599980228,17.20038840000052,17.20038840000052,17.213767399982316,,,17.54909059999045,left,1,17.552652799990028,17.560443399997894,17.560443399997894,17.560443399997894,17.560443399997894,18.548275499982992,0.34122699999716133,None,18.55974779999815,18.55974779999815,18.55974779999815,18.55974779999815,,,,204370,001,2024-11-18_03h12.38.526,attention_network_task,2024.2.4,141.2495214776322,2024-11-18 03h12.45.410209 +0330,
stim/upper.png,stim/congLeft.png,left,0,6,6,0,None,0,,,0,6,6,0,18.55974779999815,,,,,,,,,,,,18.549479999986943,18.55974779999815,18.55974779999815,18.55974779999815,18.55974779999815,19.06678789999569,19.06678789999569,19.06678789999569,19.06678789999569,19.048816800001077,0.5,19.05914989998564,19.06678789999569,19.06678789999569,19.06678789999569,19.06678789999569,19.06678789999569,19.1649400999886,19.55396479999763,19.55396479999763,19.567963299981784,21.25496269998257,21.25496269998257,21.256641199986916,None,0,21.25986739998916,21.26890480000293,21.26890480000293,21.26890480000293,21.26890480000293,22.25578000000678,,,,,,,,,,204370,001,2024-11-18_03h12.38.526,attention_network_task,2024.2.4,141.2495214776322,2024-11-18 03h12.45.410209 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.28127659999882,22.295124600001145,22.295124600001145,,,,,,,,
